ID	allele_type
YERS_1067	core
YERS_1068	core
YERS_1069	core
YERS_1070	core
YERS_1071	core
YERS_1072	core
YERS_1073	core
YERS_1074	core
YERS_1075	core
YERS_1076	core
YERS_1077	core
YERS_1078	core
YERS_1079	core
YERS_1080	core
YERS_1081	core
YERS_1082	core
YERS_1083	core
YERS_1084	core
YERS_1085	core
YERS_1086	core
YERS_1087	core
YERS_1088	core
YERS_1089	core
YERS_1090	core
YERS_1091	core
YERS_1092	core
YERS_1093	core
YERS_1094	core
YERS_1095	core
YERS_1096	core
YERS_1097	core
YERS_1098	core
YERS_1099	core
YERS_1100	core
YERS_1101	core
YERS_1102	core
YERS_1103	core
YERS_1104	core
YERS_1105	core
YERS_1106	core
YERS_1107	core
YERS_1108	core
YERS_1109	core
YERS_1110	core
YERS_1111	core
YERS_1112	core
YERS_1113	core
YERS_1114	core
YERS_1115	core
YERS_1116	core
YERS_1117	core
YERS_1118	core
YERS_1119	core
YERS_1120	core
YERS_1121	core
YERS_1122	core
YERS_1123	core
YERS_1124	core
YERS_1125	core
YERS_1126	core
YERS_1127	core
YERS_1128	core
YERS_1129	core
YERS_1130	core
YERS_1131	core
YERS_1132	core
YERS_1133	core
YERS_1134	core
YERS_1135	core
YERS_1136	core
YERS_1137	core
YERS_1138	core
YERS_1139	core
YERS_1140	core
YERS_1141	core
YERS_1142	core
YERS_1143	core
YERS_1144	core
YERS_1145	core
YERS_1146	core
YERS_1147	core
YERS_1148	core
YERS_1149	core
YERS_1150	core
YERS_1151	core
YERS_1152	core
YERS_1153	core
YERS_1154	core
YERS_1155	core
YERS_1156	core
YERS_1157	core
YERS_1158	core
YERS_1159	core
YERS_1160	core
YERS_1161	core
YERS_1162	core
YERS_1163	core
YERS_1164	core
YERS_1165	core
YERS_1166	core
YERS_1167	core
YERS_1168	core
YERS_1169	core
YERS_1170	core
YERS_1171	core
YERS_1172	core
YERS_1173	core
YERS_1174	core
YERS_1175	core
YERS_1176	core
YERS_1177	core
YERS_1178	core
YERS_1179	core
YERS_1180	core
YERS_1181	core
YERS_1182	core
YERS_1183	core
YERS_1184	core
YERS_1185	core
YERS_1186	core
YERS_1187	core
YERS_1188	core
YERS_1189	core
YERS_1190	core
YERS_1191	core
YERS_1192	core
YERS_1193	core
YERS_1194	core
YERS_1195	core
YERS_1196	core
YERS_1197	core
YERS_1198	core
YERS_1199	core
YERS_1200	core
YERS_1201	core
YERS_1202	core
YERS_1203	core
YERS_1204	core
YERS_1205	core
YERS_1206	core
YERS_1207	core
